rank + name	opp
1. Trey McBride	vs ATL
2. George Kittle	@ IND
3. Kyle Pitts	@ ARI
4. Brock Bowers	@ HOU
5. Dallas Goedert	@ WAS
6. Harold Fannin	vs BUF
7. Colston Loveland	vs GB
8. Travis Kelce	@ TEN
9. Jake Ferguson	vs LAC
10. Dalton Kincaid	@ CLE
11. Tyler Warren	vs SF
12. Dalton Schultz	vs LV
13. Colby Parkinson	@ SEA
14. Oronde Gadsden	@ DAL
15. Juwan Johnson	vs NYJ
16. Hunter Henry	@ BAL
17. Theo Johnson	vs MIN
18. Mark Andrews	vs NE
19. T.J. Hockenson	@ NYG
20. Cade Otton	@ CAR
21. Evan Engram	vs JAX
22. Mason Taylor	@ NO
23. Chigoziem Okonkwo	vs KC
24. Luke Musgrave	@ CHI
25. Noah Fant	@ MIA
26. Jonnu Smith	vs CIN
27. Ja'Tavion Sanders	vs TB
28. Michael Mayer	@ HOU
29. Pat Freiermuth	@ DET
30. Darren Waller	vs CIN
31. Brenton Strange	@ DEN
32. Mike Gesicki	@ MIA
33. AJ Barner	vs LAR
34. Gunnar Helm	vs KC
35. Isaiah Likely	vs NE
36. Taysom Hill	vs NYJ
37. Ben Sinnott	vs PHI
38. Dawson Knox	@ CLE
39. Greg Dulcich	vs MIN
40. Tommy Tremble	vs TB
41. Elijah Arroyo	vs LAR
42. Tyler Higbee	@ SEA
43. Brock Wright	vs PIT
44. Terrance Ferguson	@ SEA
45. Noah Gray	@ TEN
46. Tyler Conklin	@ DAL
47. Jeremy Ruckert	@ NO
48. John Bates	vs PHI
