rank + name	pos + rk	tm	snap%	PPR FPs	FPs pos rk	FPs rk
194. Jaydon Blue	RB62	DAL	15.60	2	89	313
195. Ollie Gordon II	RB63	MIA	23.01	3.72	76	235
196. Isaiah Likely	TE29	BAL	56.52	4.62	44	211
197. Joe Flacco	QB28	CIN	98.43	14.51	24	24
198. Cameron Ward	QB29	TEN	100	10.17	40	40
199. Rashod Bateman	WR78	BAL	71.73	4.88	98	201
200. Elijah Arroyo	TE30	SEA	39.38	2.84	59	276
201. Darius Slayton	WR79	NYG	81.66	7.45	62	138
202. Isaiah Bond	WR80	DEN	-	-	-	-
203. Cedric Tillman	WR81	CLE	62.73	4.97	97	200
204. Calvin Austin	WR82	PIT	57.66	5.83	86	177
205. DeMario Douglas	WR83	NE	28.35	6.24	78	167
206. DeAndre Hopkins	WR84	BAL	34.63	4.21	104	217
207. Joshua Palmer	WR85	BUF	42.91	5.31	94	193
208. Kaleb Johnson	RB64	PIT	-	0.88	109	382
209. Justice Hill	RB65	BAL	37	6.52	53	154
210. Mike Gesicki	TE31	CIN	39.52	4.82	41	203
211. Jerome Ford	RB66	CLE	30.56	3.35	80	255
212. Michael Carter	RB67	ARI	42.81	7.93	46	129
213. Ja'Tavion Sanders	TE32	CAR	52.05	4.10	46	222
214. Sterling Shepard	WR86	TB	57.08	6.31	76	163
215. Keaton Mitchell	RB68	BAL	15.22	4.81	64	204
216. Cole Kmet	TE33	CHI	70.07	5.08	39	198
217. Isaac TeSlaa	WR87	DET	36.42	3.14	130	266
218. Braelon Allen	RB69	NYJ	23.56	3.83	74	230
219. Jeremy McNichols	RB70	WAS	31.18	4.39	69	216
220. Marvin Mims	WR88	DEN	37.63	6.18	80	169
221. Chigoziem Okonkwo	TE34	TEN	64.73	6.49	30	156
222. Isaac Guerendo	RB71	SF	0	0	130	454
223. Pat Bryant	WR89	DEN	44.82	4.50	102	213
224. Tyler Higbee	TE35	LAR	55.29	5.67	36	186
225. Jarquez Hunter	RB72	LAR	55.26	0	130	454
226. Will Shipley	RB73	PHI	10.06	1.22	103	359
227. Jalen Tolbert	WR90	DAL	51.73	3.56	116	240
228. Malik Washington	WR91	MIA	56.26	6.23	79	168
229. Geno Smith	QB30	LV	96.64	11.75	37	37
230. Hassan Haskins	RB74	LAC	11.50	0.92	107	378
231. Noah Fant	TE36	CIN	40.32	5.79	35	180
232. Justin Fields	QB31	NYJ	89.73	15.85	20	20
233. Tyquan Thornton	WR92	KC	39.50	5.77	88	181
234. Spencer Rattler	QB32	NO	77.26	11.02	39	39
235. John Metchie	WR	HOU	38.57	4.49	103	214
236. AJ Barner	TE	SEA	77.65	8.71	20	115
237. Ameer Abdullah	RB	IND	17.42	3.06	83	267
238. Tyrod Taylor	QB	NYJ	67.09	9.91	41	41
239. Tre Harris	WR	LAC	45.18	3.76	112	232
240. Roschon Johnson	RB	CHI	0.90	0.24	120	431
241. Adam Thielen	WR	CAR	39.15	1.54	165	336
242. Jaylen Wright	RB	MIA	16.41	3.76	75	233
243. Tahj Brooks	RB	CIN	3.88	0.22	121	434
244. Terrance Ferguson	TE	LAR	31.88	2.98	57	271
245. Dyami Brown	WR	JAX	44.33	3.99	108	225
246. Dont'e Thornton Jr.	WR	LV	47.89	1.69	162	329
247. Tyler Conklin	TE	LAC	16.92	1.31	79	352
248. Michael Mayer	TE	LV	55.13	4.62	43	209
249. Alexander Mattison	RB	MIA	-	-	-	-
250. Khalil Herbert	RB	IND	2.57	0.13	125	446
251. Noah Gray	TE	KC	51.50	2.43	62	289
252. MarShawn Lloyd	RB	GB	-	-	-	-
253. Dameon Pierce	RB	HOU	6.79	0.65	112	400
254. Ben Sinnott	TE	WAS	29.47	1.44	77	345
255. Amari Cooper	WR	-	-	-	-	-
256. Elijah Moore	WR	BUF	31.14	3.18	128	264
257. Demarcus Robinson	WR	SF	44.27	3.41	123	252
258. Jordan James	RB	SF	-	0	-	-
259. Dillon Gabriel	QB	CLE	62.66	7.79	45	45
260. Audric Estime	RB	DEN	9.51	2.28	86	300
261. Jalen McMillan	WR	TB	46.37	5.80	87	179
262. Elijah Mitchell	RB	KC	8.57	0	130	454
263. Savion Williams	WR	GB	10.96	2.24	151	302
264. Hunter Renfrow	WR	CAR	49.38	5.98	82	172
265. Trevor Etienne	RB	CAR	4.86	0.98	106	373
266. Russell Wilson	QB	NYG	54.23	8.31	44	44
267. Jaleel McLaughlin	RB	DEN	12.65	3.38	79	253
268. Ty Johnson	RB	BUF	28.56	4.66	67	207
269. Ray-Ray McCloud	WR	ATL	53.41	2.32	147	296
270. Jalen Royals	WR	KC	-	0	210	454
271. Tyler Lockett	WR	TEN	51.42	3.94	110	228
272. Devaughn Vele	WR	DEN	42.73	5.10	96	197
273. Roman Wilson	WR	PIT	34.92	3.22	126	261
274. Anthony Richardson	QB	IND	9	1.08	56	56
275. Tutu Atwell	WR	LAR	35.44	3.54	118	242
276. Jake Browning	QB	CIN	73.16	9.75	42	42
277. Jalen Milroe	QB	SEA	1.77	-0.53	77	77
278. Malik Willis	QB	GB	10.27	3.21	50	50
279. Kenny Pickett	QB	CLE	35.90	2.02	54	54
