rank + name	opp
1. Christian McCaffrey	@ IND
2. Jahmyr Gibbs	vs PIT
3. Devon Achane	vs CIN
4. Bijan Robinson	@ ARI
5. James Cook	@ CLE
6. Jonathan Taylor	vs SF
7. Saquon Barkley	@ WAS
8. Bucky Irving	@ CAR
9. Javonte Williams	vs LAC
10. Derrick Henry	vs NE
11. Josh Jacobs	@ CHI
12. Chase Brown	@ MIA
13. Travis Etienne	@ DEN
14. TreVeyon Henderson	@ BAL
15. Omarion Hampton	@ DAL
16. Kyren Williams	@ SEA
17. RJ Harvey	vs JAX
18. Rico Dowdle	vs TB
19. Quinshon Judkins	vs BUF
20. Breece Hall	@ NO
21. Tyrone Tracy	vs MIN
22. D'Andre Swift	vs GB
23. Ashton Jeanty	@ HOU
24. Woody Marks	vs LV
25. Kenneth Gainwell	@ DET
26. Aaron Jones	@ NYG
27. Michael Carter	vs ATL
28. Kenneth Walker	vs LAR
29. Tony Pollard	vs KC
30. Jaylen Warren	@ DET
31. Kyle Monangai	vs GB
32. David Montgomery	vs PIT
33. Chuba Hubbard	vs TB
34. Blake Corum	@ SEA
35. Rhamondre Stevenson	@ BAL
36. Kimani Vidal	@ DAL
37. Zach Charbonnet	vs LAR
38. Chris Rodriguez	vs PHI
39. Emanuel Wilson	@ CHI
40. Kareem Hunt	@ TEN
41. Isiah Pacheco	@ TEN
42. Tyler Allgeier	@ ARI
43. Jordan Mason	@ NYG
44. Devin Singletary	vs MIN
45. Tyjae Spears	vs KC
46. Bhayshul Tuten	@ DEN
47. Rachaad White	@ CAR
48. Sean Tucker	@ CAR
49. Jacory Croskey-Merritt	vs PHI
50. Nick Chubb	vs LV
51. Jaydon Blue	vs LAC
52. Brashard Smith	@ TEN
53. Terrell Jennings	@ BAL
54. Samaje Perine	@ MIA
55. Justice Hill	vs NE
56. Isaiah Davis	@ NO
57. Jaret Patterson	@ DAL
58. Jerome Ford	vs BUF
59. Ollie Gordon II	vs CIN
60. Brian Robinson	@ IND
61. Ray Davis	@ CLE
62. Raheem Mostert	@ HOU
63. Kaleb Johnson	@ DET
64. Audric Estime	vs JAX
65. Evan Hull	@ DET
66. Jawhar Jordan	vs LV
67. Dare Ogunbowale	vs LV
68. Jeremy McNichols	vs PHI
69. Keaton Mitchell	vs NE
70. Ty Johnson	@ CLE
71. Jaleel McLaughlin	vs JAX
72. Jaylen Wright	vs CIN
73. Roschon Johnson	vs GB
74. Tank Bigsby	@ WAS
75. MarShawn Lloyd	@ CHI
76. LeQuint Allen	@ DEN
77. Rasheen Ali	vs NE
78. Pierre Strong	vs BUF
79. Tyler Badie	vs JAX
80. Jarquez Hunter	@ SEA
81. Will Shipley	@ WAS
82. Chris Brooks	@ CHI
83. DJ Giddens	vs SF
84. Tahj Brooks	@ MIA
85. Isaac Guerendo	@ IND
86. AJ Dillon	@ WAS
87. Tyler Goodson	vs SF
