rank + name	pos + rk	tm	snap%	PPR FPs	FPs pos rk	FPs rk
105. Alvin Kamara	RB36	NO	59.17	9.15	39	108
106. Tyler Allgeier	RB37	ATL	29.03	7.85	47	128
107. Oronde Gadsden	TE12	LAC	62.94	8.84	19	115
108. Colston Loveland	TE13	CHI	60.38	8.47	23	123
109. Adonai Mitchell	WR46	NYJ	48.48	6.05	78	167
110. Troy Franklin	WR47	DEN	63.48	11.07	43	83
111. Jayden Higgins	WR48	HOU	64.28	6.83	67	146
112. Jared Goff	QB14	DET	98.66	17.61	12	12
113. Justin Herbert	QB15	LAC	96.86	18.12	11	11
114. Emanuel Wilson	RB38	GB	29.10	5.69	61	181
115. Rhamondre Stevenson	RB39	NE	61.43	9.69	36	101
116. Theo Johnson	TE14	NYG	86.73	8.52	22	122
117. Kayshon Boutte	WR49	NE	69.95	9.21	51	106
118. Chimere Dike	WR50	TEN	57.32	6.55	71	154
119. Bhayshul Tuten	RB40	JAX	27.07	5.74	60	178
120. Hunter Henry	TE15	NE	81.21	10.29	16	91
121. Baker Mayfield	QB16	TB	96.82	16.08	18	18
122. Sean Tucker	RB41	TB	16.71	6.07	57	166
123. Jordan Mason	RB42	MIN	47.41	7.97	46	127
124. Chris Rodriguez	RB43	WAS	30.50	6.39	55	158
125. Tre Tucker	WR51	LV	94.86	9.76	48	96
126. Rashid Shaheed	WR52	SEA	62.10	8.85	53	113
127. Isiah Pacheco	RB44	KC	54.87	6.71	51	150
128. Tony Pollard	RB45	TEN	63.34	10.99	30	84
129. Jordan Love	QB17	GB	94.44	15.68	20	20
130. Jayden Daniels	QB18	WAS	90.05	16.33	15	15
131. Tyjae Spears	RB46	TEN	45.69	9.17	38	107
132. Josh Downs	WR53	IND	62.65	8.67	54	118
133. Raheem Mostert	RB47	LV	19.72	2.45	86	291
134. Rachaad White	RB48	TB	51.69	8.88	41	111
135. Emari Demercado	RB49	ARI	19.86	4.33	72	221
136. Nick Chubb	RB50	HOU	34.37	6.30	56	163
137. Parker Washington	WR54	JAX	64.21	9.57	49	103
138. Juwan Johnson	TE16	NO	66.86	10.62	15	88
139. Mark Andrews	TE17	BAL	64.25	8.05	24	126
140. Sam Darnold	QB19	SEA	95.74	14.70	24	24
141. C.J. Stroud	QB20	HOU	92.94	14.79	23	23
142. Brenton Strange	TE18	JAX	75.30	9.24	18	105
143. Tez Johnson	WR55	TB	51.97	6.11	77	165
144. Matthew Golden	WR56	GB	49.29	5.50	90	188
145. Xavier Legette	WR57	CAR	72.55	6.37	73	159
146. Cooper Kupp	WR58	SEA	75.15	7.84	59	130
147. Cade Otton	TE19	TB	92.82	6.61	30	152
148. T.J. Hockenson	TE20	MIN	80.35	7.52	26	137
149. David Njoku	TE21	CLE	64.29	7.19	27	140
150. Jacory Croskey-Merritt	RB51	WAS	38.90	8.59	45	120
151. J.J. McCarthy	QB21	MIN	95.02	13.04	32	32
152. Jerry Jeudy	WR59	CLE	85.54	7.07	65	143
153. Brian Robinson	RB52	SF	15.96	3.85	75	233
154. Dylan Sampson	RB53	CLE	24.14	5.81	59	174
155. Ray Davis	RB54	BUF	-	2.01	93	319
156. Darnell Mooney	WR60	ATL	82.98	5.52	88	185
157. Brandon Aiyuk	WR61	SF	-	0	-	-
158. Isaiah Davis	RB55	NYJ	28.86	4.55	69	213
159. Aaron Rodgers	QB22	PIT	95.34	14.43	25	25
160. Shedeur Sanders	QB23	CLE	91.44	11.74	37	37
