rank + name	opp
1. Ja'Marr Chase	@ MIA
2. Puka Nacua	@ SEA
3. Jaxon Smith-Njigba	vs LAR
4. Amon-Ra St. Brown	vs PIT
5. CeeDee Lamb	vs LAC
6. Drake London	@ ARI
7. Jameson Williams	vs PIT
8. Nico Collins	vs LV
9. A.J. Brown	@ WAS
10. George Pickens	vs LAC
11. Michael Wilson	vs ATL
12. Chris Olave	vs NYJ
13. Tee Higgins	@ MIA
14. Wan'Dale Robinson	vs MIN
15. Courtland Sutton	vs JAX
16. Zay Flowers	vs NE
17. DK Metcalf	@ DET
18. Mike Evans	@ CAR
19. Tetairoa McMillan	vs TB
20. Jaylen Waddle	vs CIN
21. DeVonta Smith	@ WAS
22. Justin Jefferson	@ NYG
23. Jauan Jennings	@ IND
24. Jakobi Meyers	@ DEN
25. DJ Moore	vs GB
26. Terry McLaurin	vs PHI
27. Brian Thomas	@ DEN
28. Emeka Egbuka	@ CAR
29. Deebo Samuel	vs PHI
30. Ladd McConkey	@ DAL
31. Jordan Addison	@ NYG
32. Adonai Mitchell	@ NO
33. Stefon Diggs	@ BAL
34. Khalil Shakir	@ CLE
35. Michael Pittman	vs SF
36. Chris Godwin	@ CAR
37. Ricky Pearsall	@ IND
38. Jayden Reed	@ CHI
39. Romeo Doubs	@ CHI
40. Xavier Worthy	@ TEN
41. Troy Franklin	vs JAX
42. Jayden Higgins	vs LV
43. Keenan Allen	@ DAL
44. Quentin Johnston	@ DAL
45. Rashid Shaheed	vs LAR
46. Alec Pierce	vs SF
47. John Metchie	vs LV
48. Devaughn Vele	vs JAX
49. Chimere Dike	vs KC
50. Jalen Coker	vs TB
51. Josh Downs	vs SF
52. Jerry Jeudy	vs BUF
53. Darnell Mooney	@ ARI
54. Christian Watson	@ CHI
55. Davante Adams	@ SEA
56. Tre Tucker	@ HOU
57. Kayshon Boutte	@ BAL
58. Cooper Kupp	vs LAR
59. Keon Coleman	@ CLE
60. Darius Slayton	vs MIN
61. Xavier Legette	vs TB
62. Andrei Iosivas	@ MIA
63. Tez Johnson	@ CAR
64. Matthew Golden	@ CHI
65. Calvin Austin	@ DET
66. Malik Washington	vs CIN
67. DeMario Douglas	@ BAL
68. Kendrick Bourne	@ IND
69. Christian Kirk	vs LV
70. Olamide Zaccheaus	vs GB
71. Elic Ayomanor	vs KC
72. Rashod Bateman	vs NE
73. Jaylin Noel	vs LV
74. Sterling Shepard	@ CAR
75. Marquise Brown	@ TEN
76. Tyquan Thornton	@ TEN
77. Dont'e Thornton Jr.	@ HOU
78. DeAndre Hopkins	vs NE
79. Curtis Samuel	@ CLE
80. Dyami Brown	@ DEN
81. Marvin Mims	vs JAX
82. Cedric Tillman	vs BUF
83. Marvin Harrison	vs ATL
84. David Sills	@ ARI
85. Pat Bryant	vs JAX
86. Dontayvion Wicks	@ CHI
87. Ryan Flournoy	vs LAC
88. Isaac TeSlaa	vs PIT
89. Lil'Jordan Humphrey	vs MIN
90. Greg Dortch	vs ATL
91. Treylon Burks	vs KC
92. Jalen McMillan	@ CAR
93. Zavier Scott	@ NYG
94. Elijah Moore	@ CLE
95. Tre Harris	@ DAL
96. Jordan Whittington	@ SEA
97. Tyler Lockett	vs KC
98. Jalen Nailor	@ NYG
99. Jack Bech	@ HOU
100. Isaiah Bond	vs JAX
101. Roman Wilson	@ DET
102. Tyrell Shavers	@ CLE
103. Mack Hollins	@ BAL
104. Josh Reynolds	@ NO
105. Xavier Hutchinson	vs LV
106. Luke McCaffrey	vs PHI
107. Adam Thielen	vs TB
108. Jaylin Lane	vs PHI
109. Demarcus Robinson	@ IND
110. Kyle Williams	@ BAL
111. Van Jefferson	vs KC
112. KaVontae Turpin	vs LAC
113. Brandin Cooks	vs NYJ
