rank	name	team	bye
1	Brandon Aubrey	DAL	14
2	Ka'imi Fairbairn	HOU	8
3	Cameron Dicker	LAC	7
4	Cam Little	JAC	7
5	Jason Myers	SEA	11
6	Eddy Pineiro	SF	8
7	Cairo Santos	CHI	10
8	Harrison Mevis	LAR	11
9	Tyler Loop	BAL	13
10	Evan McPherson	CIN	6
11	Chase McLaughlin	TB	10
12	Jake Bates	DET	6
13	Chris Boswell	PIT	9
14	Andy Borregales	NE	11
15	Tyler Bass	BUF	7
16	Harrison Butker	KC	5
17	Will Reichard	MIN	6
18	Wil Lutz	DEN	10
19	Trey Smack	GB	11
20	Jake Elliott	PHI	10
21	Ryan Fitzgerald	CAR	5
22	Spencer Shrader	IND	13
23	Daniel Carlson	NO	8
24	Chad Ryland	ARI	14
25	Nick Folk	ATL	11
26	Dominic Zvada	NYG	8
27	Joey Slye	TEN	9
28	Drew Stevens	WAS	7
29	Jason Sanders	NYJ	13
30	Charlie Smyth	NO	8
31	Matt Gay	LV	13
32	Zane Gonzalez	FA
33	Riley Patterson	MIA	6
34	Blake Grupe	NYJ	13
35	Brandon McManus	FA
36	Jake Moody	FA
37	Andre Szmyt	CLE	11
38	Ben Sauls	FA

